table,row_id,field,issue_type,description,recommended_action
emission_factors,EF.AMD.ACID.2023,method_notes,Method notes flagged,method_notes contains keyword(s): proxy,Review
emission_factors,EF.BUILDING.OFFICE.M2.YEAR.CA-ON,method_notes,Method notes flagged,method_notes contains keyword(s): derived,Review
emission_factors,EF.LLM.ANTHROPIC.TOKENK,method_notes,Method notes flagged,method_notes contains keyword(s): estimate,Review
emission_factors,EF.RIVER.HYPOXIA.2023,method_notes,Method notes flagged,method_notes contains keyword(s): proxy,Review
emission_factors,EF.SOCIAL.FACEBOOK.HOUR,method_notes,Method notes flagged,method_notes contains keyword(s): estimate,Review
emission_factors,EF.SOCIAL.INSTAGRAM.HOUR,method_notes,Method notes flagged,method_notes contains keyword(s): derived,Review
emission_factors,EF.TTC.BUS.PKM,method_notes,Method notes flagged,method_notes contains keyword(s): estimate,Review
emission_factors,EF.TTC.SUBWAY.PKM,method_notes,Method notes flagged,method_notes contains keyword(s): derived,Review
emission_factors,EF.BIKE.KM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.BUILDING.HOSPITAL.M2.YEAR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.BUILDING.OFFICE.M2.YEAR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.BUILDING.RESIDENTIAL.M2.YEAR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.CAR.KM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEMO.COFFEE.FIXED,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEMO.STREAM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEVICE.LAPTOP.UNIT.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEVICE.SMARTPHONE.UNIT.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEVICE.TV.UNIT.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.AI.LLM.INFER.1K_TOKENS,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.CLOUD.DOWNLOAD.GB,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.CONF.HD.PARTICIPANT_HOUR,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.MEDIA.STREAM.HD.HOUR.TV,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.SOCIAL.SCROLL.HOUR.MOBILE,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.AC.OP.YEAR,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.AC.UNIT,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.COLDCHAIN.KG,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.FRIDGE.OP.YEAR,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.FRIDGE.UNIT,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.STREAM.HD.HOUR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.STREAM.UHD.HOUR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.TRUCK.CLASS6.KM.ELECTRIC,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.TTC.SUBWAY.PKM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,GRID.CA-ON.2024,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,CLOTHING.JACKET.SYNTH,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,CLOTHING.JEANS.DENIM,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,CLOTHING.SHOES.SNEAKERS,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,CLOTHING.TSHIRT.COTTON,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,TRAN.DELIVERY.TRUCK.CLASS6.KM,"value_g_per_unit,is_grid_indexed,electricity_kwh_per_unit,electricity_kwh_per_unit_low,electricity_kwh_per_unit_high,vintage_year,source_id,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: value_g_per_unit, is_grid_indexed, electricity_kwh_per_unit, electricity_kwh_per_unit_low, electricity_kwh_per_unit_high, vintage_year, source_id, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,EF.BUILDING.HOSPITAL.M2.YEAR.CA-ON,value_g_per_unit,Numeric outlier,value_g_per_unit z-score 3.63 within layer_id professional,Review
emission_factors,EF.AMD.ACID.2023,method_notes,Method notes flagged,method_notes contains keyword(s): proxy,Review
emission_factors,EF.BUILDING.OFFICE.M2.YEAR.CA-ON,method_notes,Method notes flagged,method_notes contains keyword(s): derived,Review
emission_factors,EF.LLM.ANTHROPIC.TOKENK,method_notes,Method notes flagged,method_notes contains keyword(s): estimate,Review
emission_factors,EF.RIVER.HYPOXIA.2023,method_notes,Method notes flagged,method_notes contains keyword(s): proxy,Review
emission_factors,EF.SOCIAL.FACEBOOK.HOUR,method_notes,Method notes flagged,method_notes contains keyword(s): estimate,Review
emission_factors,EF.SOCIAL.INSTAGRAM.HOUR,method_notes,Method notes flagged,method_notes contains keyword(s): derived,Review
emission_factors,EF.TTC.BUS.PKM,method_notes,Method notes flagged,method_notes contains keyword(s): estimate,Review
emission_factors,EF.TTC.SUBWAY.PKM,method_notes,Method notes flagged,method_notes contains keyword(s): derived,Review
emission_factors,EF.BIKE.KM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.BUILDING.HOSPITAL.M2.YEAR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.BUILDING.OFFICE.M2.YEAR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.BUILDING.RESIDENTIAL.M2.YEAR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.CAR.KM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEMO.COFFEE.FIXED,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEMO.STREAM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEVICE.LAPTOP.UNIT.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEVICE.SMARTPHONE.UNIT.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.DEVICE.TV.UNIT.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.AI.LLM.INFER.1K_TOKENS,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.CLOUD.DOWNLOAD.GB,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.CONF.HD.PARTICIPANT_HOUR,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.MEDIA.STREAM.HD.HOUR.TV,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.ONLINE.SOCIAL.SCROLL.HOUR.MOBILE,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.AC.OP.YEAR,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.AC.UNIT,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.COLDCHAIN.KG,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.FRIDGE.OP.YEAR,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.REFR.FRIDGE.UNIT,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.STREAM.HD.HOUR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.STREAM.UHD.HOUR.CA-ON,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.TRUCK.CLASS6.KM.ELECTRIC,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,EF.TTC.SUBWAY.PKM,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,GRID.CA-ON.2024,"uncert_low_g_per_unit,uncert_high_g_per_unit",Missing uncertainty bounds,"Missing values for uncert_low_g_per_unit, uncert_high_g_per_unit",Replace with cited data
emission_factors,CLOTHING.JACKET.SYNTH,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,CLOTHING.JEANS.DENIM,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,CLOTHING.SHOES.SNEAKERS,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,CLOTHING.TSHIRT.COTTON,"unit,value_g_per_unit,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: unit, value_g_per_unit, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,TRAN.DELIVERY.TRUCK.CLASS6.KM,"value_g_per_unit,is_grid_indexed,electricity_kwh_per_unit,electricity_kwh_per_unit_low,electricity_kwh_per_unit_high,vintage_year,source_id,method_notes,uncert_low_g_per_unit,uncert_high_g_per_unit",Conflicting duplicate activity,"activity_id has 2 rows with differing values in: value_g_per_unit, is_grid_indexed, electricity_kwh_per_unit, electricity_kwh_per_unit_low, electricity_kwh_per_unit_high, vintage_year, source_id, method_notes, uncert_low_g_per_unit, uncert_high_g_per_unit",Review
emission_factors,EF.BUILDING.HOSPITAL.M2.YEAR.CA-ON,value_g_per_unit,Numeric outlier,value_g_per_unit z-score 3.63 within layer_id professional,Review
